Month,2YO_mean,2YO_median,2YO_min,2YO_max,2YO_mean_no_extremes,2YO_median_no_extremes,3YO_mean,3YO_median,3YO_min,3YO_max,3YO_mean_no_extremes,3YO_median_no_extremes,4YO_mean,4YO_median,4YO_min,4YO_max,4YO_mean_no_extremes,4YO_median_no_extremes,5YO_mean,5YO_median,5YO_min,5YO_max,5YO_mean_no_extremes,5YO_median_no_extremes
2015-01,,,,,,,,,,,,,78116.66666666667,78000.0,77000.0,79700.0,78000.0,78000.0,69783.33333333333,70000.0,69000.0,70000.0,69700.0,69700.0
2015-02,,,,,,,,,,,,,74400.0,74400.0,73800.0,75000.0,,,66700.0,66700.0,64400.0,69000.0,,
2015-03,,,,,,,,,,,,,72316.66666666667,72000.0,71900.0,74000.0,72000.0,72000.0,62433.333333333336,62000.0,62000.0,63600.0,63000.0,63000.0
2015-04,,,,,,,,,,,,,71000.0,71000.0,71000.0,71000.0,,,63250.0,63250.0,62500.0,64000.0,,
2015-05,,,,,,,,,,,,,71283.33333333333,71350.0,70000.0,72000.0,71233.33333333333,71000.0,63116.666666666664,64000.0,61000.0,64000.0,61700.0,61700.0
2015-06,,,,,,,,,,,,,71200.0,71200.0,71000.0,71400.0,,,61000.0,61000.0,61000.0,61000.0,,
2015-07,,,,,,,,,,,,,70666.66666666667,70000.0,70000.0,73000.0,71000.0,71000.0,60616.666666666664,60500.0,59000.0,63000.0,60425.0,60500.0
2015-08,,,,,,,,,,,,,69750.0,69750.0,69500.0,70000.0,,,59550.0,59550.0,59100.0,60000.0,,
2015-09,,,,,,,,,,,,,70050.0,69500.0,68300.0,72000.0,69333.33333333333,69000.0,58583.333333333336,58500.0,57500.0,60000.0,58500.0,58500.0
2015-10,,,,,,,,,,,,,67350.0,67350.0,66700.0,68000.0,,,56150.0,56150.0,55300.0,57000.0,,
2015-11,,,,,,,,,,,,,66450.0,67500.0,62000.0,70000.0,66675.0,67500.0,56216.666666666664,57000.0,53000.0,58000.0,55150.0,55150.0
2015-12,,,,,,,,,,,,,62600.0,62600.0,61200.0,64000.0,,,53350.0,53350.0,53000.0,53700.0,,
2016-01,96000.0,96000.0,96000.0,96000.0,,,93000.0,93000.0,93000.0,93000.0,,,69440.625,70000.0,62000.0,72600.0,69844.8275862069,70000.0,56712.5,57000.0,53000.0,58000.0,56643.47826086957,57000.0
2016-02,,,,,,,,,,,,,68075.0,68000.0,66600.0,70000.0,68000.0,68000.0,55300.0,56000.0,52000.0,58000.0,55400.0,56000.0
2016-03,113000.0,113000.0,113000.0,113000.0,,,76000.0,76000.0,76000.0,76000.0,,,66546.875,67000.0,65000.0,70000.0,66780.0,67000.0,48865.625,48000.0,45000.0,58000.0,49813.04347826087,50000.0
2016-04,,,,,,,,,,,,,64737.5,65000.0,63000.0,66000.0,64816.666666666664,65000.0,46237.5,45000.0,43000.0,51000.0,45983.333333333336,45000.0
2016-05,100000.0,100000.0,100000.0,100000.0,,,80000.0,80000.0,80000.0,80000.0,,,63625.0,63500.0,60000.0,67000.0,63633.333333333336,63500.0,47078.125,47000.0,43000.0,51500.0,47357.142857142855,47000.0
2016-06,,,,,,,,,,,,,61637.5,61500.0,60000.0,63100.0,61666.666666666664,61500.0,46375.0,45500.0,43000.0,52000.0,47500.0,47500.0
2016-07,91000.0,91000.0,91000.0,91000.0,,,76000.0,76000.0,76000.0,76000.0,,,61015.625,60500.0,59000.0,65000.0,60810.34482758621,60000.0,45765.625,45250.0,42000.0,52000.0,45722.22222222222,45500.0
2016-08,,,,,,,,,,,,,59337.5,59000.0,59000.0,60700.0,60000.0,60000.0,45925.0,47000.0,41000.0,48000.0,46080.0,47000.0
2016-09,89000.0,89000.0,89000.0,89000.0,,,71000.0,71000.0,71000.0,71000.0,,,58825.0,58500.0,56000.0,64000.0,58746.666666666664,58500.0,45925.0,46800.0,41000.0,51000.0,45907.692307692305,46800.0
2016-10,,,,,,,,,,,,,56462.5,56000.0,56000.0,58000.0,57700.0,57700.0,44875.0,44500.0,41000.0,49000.0,44833.333333333336,44500.0
2016-11,82000.0,82000.0,82000.0,82000.0,,,67000.0,67000.0,67000.0,67000.0,,,56365.625,55500.0,54000.0,67000.0,56411.53846153846,56000.0,42362.5,41000.0,40000.0,54000.0,42281.48148148148,41000.0
2016-12,,,,,,,,,,,,,56457.142857142855,55000.0,54000.0,67000.0,55400.0,55200.0,42300.0,41000.0,40000.0,53000.0,40775.0,41000.0
2017-01,82000.0,82000.0,82000.0,82000.0,,,65000.0,65000.0,65000.0,65000.0,,,66725.0,67000.0,57000.0,69000.0,67317.24137931035,67000.0,47965.625,47500.0,40000.0,54000.0,47603.57142857143,45500.0
2017-02,,,,,,,,,,,,,66500.0,66500.0,65000.0,68000.0,66500.0,66500.0,46587.5,45500.0,44700.0,53000.0,45833.333333333336,45500.0
2017-03,99000.0,99000.0,99000.0,99000.0,,,76000.0,76000.0,76000.0,76000.0,,,64178.125,64850.0,56000.0,67000.0,63828.0,64000.0,45203.125,45000.0,44000.0,47000.0,45224.137931034486,45000.0
2017-04,,,,,,,,,,,,,62512.5,63000.0,61000.0,64000.0,62820.0,63000.0,44287.5,44500.0,42000.0,46300.0,44800.0,45000.0
2017-05,98000.0,98000.0,98000.0,98000.0,,,72000.0,72000.0,72000.0,72000.0,,,61178.125,61000.0,54000.0,66000.0,61256.666666666664,61000.0,44621.875,45000.0,41000.0,48000.0,44630.0,45000.0
2017-06,,,,,,,,,,,,,60262.5,61000.0,58000.0,61100.0,60500.0,61000.0,44700.0,45000.0,43000.0,46000.0,44766.666666666664,45000.0
2017-07,92000.0,92000.0,92000.0,92000.0,,,70000.0,70000.0,70000.0,70000.0,,,58256.25,58000.0,55000.0,62000.0,58240.0,58000.0,44618.75,45000.0,41000.0,47000.0,44192.0,44000.0
2017-08,,,,,,,,,,,,,56037.5,56000.0,53000.0,58000.0,56216.666666666664,56000.0,43812.5,44250.0,42000.0,46000.0,44625.0,44750.0
2017-09,93000.0,93000.0,93000.0,93000.0,,,66000.0,66000.0,66000.0,66000.0,,,54725.0,54500.0,52000.0,58000.0,54706.666666666664,54500.0,42800.0,42000.0,39000.0,55000.0,42520.0,42000.0
2017-10,,,,,,,,,,,,,52737.5,53000.0,50000.0,54000.0,52983.333333333336,53000.0,41487.5,41950.0,40000.0,43000.0,41780.0,42000.0
2017-11,92000.0,92000.0,92000.0,92000.0,,,68000.0,68000.0,68000.0,68000.0,,,52365.625,52000.0,51000.0,56000.0,52433.333333333336,52000.0,41171.875,40000.0,39000.0,57000.0,40907.40740740741,40000.0
2017-12,,,,,,,,,,,,,54728.57142857143,55000.0,50000.0,66000.0,53420.0,55000.0,43128.57142857143,41000.0,40000.0,56000.0,41475.0,41450.0
2018-01,119000.0,119000.0,119000.0,119000.0,,,90000.0,90000.0,90000.0,90000.0,,,65906.66666666667,66000.0,51000.0,71000.0,66134.88372093023,66000.0,51648.88888888889,55000.0,40000.0,57000.0,51956.09756097561,55000.0
2018-02,,,,,,,,,,,,,65400.0,65500.0,63000.0,68000.0,65375.0,65500.0,48700.0,47000.0,46000.0,55000.0,49000.0,48500.0
2018-03,104000.0,104000.0,104000.0,104000.0,,,76000.0,76000.0,76000.0,76000.0,,,64860.46511627907,65000.0,62000.0,67000.0,64800.0,65000.0,47395.348837209305,47000.0,46000.0,51000.0,47375.0,47000.0
2018-04,,,,,,,,,,,,,65555.55555555556,66000.0,64000.0,67000.0,65833.33333333333,66000.0,47777.77777777778,48000.0,46000.0,50000.0,48000.0,48000.0
2018-05,98000.0,98000.0,98000.0,98000.0,,,74000.0,74000.0,74000.0,74000.0,,,64951.21951219512,65000.0,61000.0,67000.0,64891.89189189189,65000.0,48268.29268292683,49000.0,46000.0,51000.0,48305.555555555555,49000.0
2018-06,,,,,,,,,,,,,64777.77777777778,65000.0,63000.0,66000.0,64750.0,65000.0,49333.333333333336,49000.0,48000.0,51000.0,49500.0,49500.0
2018-07,97000.0,97000.0,97000.0,97000.0,,,77000.0,77000.0,77000.0,77000.0,,,64400.0,64000.0,62000.0,66000.0,64000.0,64000.0,49675.0,50000.0,46000.0,52000.0,49710.52631578947,50000.0
2018-08,,,,,,,,,,,,,63666.666666666664,63000.0,63000.0,65000.0,64000.0,64000.0,50000.0,50000.0,48000.0,52000.0,50333.333333333336,50000.0
2018-09,92000.0,92000.0,92000.0,92000.0,,,76000.0,76000.0,76000.0,76000.0,,,63368.42105263158,63000.0,62000.0,66000.0,63466.666666666664,63000.0,50710.52631578947,51000.0,47000.0,52000.0,50370.37037037037,50000.0
2018-10,,,,,,,,,,,,,62250.0,62000.0,62000.0,64000.0,,,51571.42857142857,52000.0,50000.0,52000.0,51000.0,51000.0
2018-11,88000.0,88000.0,88000.0,88000.0,,,72000.0,72000.0,72000.0,72000.0,,,62135.13513513513,62000.0,61000.0,64000.0,62161.290322580644,62000.0,51351.35135135135,52000.0,47000.0,53000.0,51185.18518518518,52000.0
2018-12,,,,,,,,,,,,,62166.666666666664,62000.0,61000.0,64000.0,62000.0,62000.0,51500.0,53000.0,48000.0,53000.0,49000.0,49000.0
2019-01,128000.0,128000.0,128000.0,128000.0,,,94161.29032258065,94000.0,82000.0,97000.0,94482.75862068965,94000.0,75348.48484848485,78000.0,62000.0,80000.0,75698.41269841269,78000.0,60121.21212121212,61000.0,50000.0,63000.0,60234.375,61000.0
2019-02,,,,,,,85500.0,85500.0,83000.0,88000.0,,,71714.28571428571,72000.0,70000.0,74000.0,72000.0,72000.0,58714.28571428572,59000.0,58000.0,60000.0,59000.0,59000.0
2019-03,115000.0,115000.0,115000.0,115000.0,,,85161.29032258065,85000.0,81000.0,93000.0,84750.0,84500.0,70515.625,70000.0,68000.0,77000.0,70491.80327868853,70000.0,58171.875,58000.0,51000.0,61000.0,58150.0,58000.0
2019-04,,,,,,,93000.0,93000.0,92000.0,94000.0,,,70666.66666666667,70500.0,69000.0,73000.0,71000.0,71000.0,56000.0,56500.0,54000.0,57000.0,55500.0,55500.0
2019-05,110000.0,110000.0,110000.0,110000.0,,,91806.45161290323,93000.0,80000.0,94000.0,91000.0,92000.0,69983.87096774194,70000.0,66000.0,75000.0,69966.66666666667,70000.0,56838.709677419356,57000.0,48000.0,69000.0,56783.333333333336,57000.0
2019-06,,,,,,,85000.0,85000.0,85000.0,85000.0,,,68500.0,68000.0,68000.0,70000.0,69000.0,69000.0,52833.333333333336,53500.0,50000.0,55000.0,53500.0,53500.0
