Quarter,2YO_mean,2YO_median,2YO_min,2YO_max,2YO_mean_no_extremes,2YO_median_no_extremes,2YO_mean_no_outliers,2YO_median_no_outliers,3YO_mean,3YO_median,3YO_min,3YO_max,3YO_mean_no_extremes,3YO_median_no_extremes,3YO_mean_no_outliers,3YO_median_no_outliers,4YO_mean,4YO_median,4YO_min,4YO_max,4YO_mean_no_extremes,4YO_median_no_extremes,4YO_mean_no_outliers,4YO_median_no_outliers,5YO_mean,5YO_median,5YO_min,5YO_max,5YO_mean_no_extremes,5YO_median_no_extremes,5YO_mean_no_outliers,5YO_median_no_outliers
2015Q1,,,,,,,,,85439.93549121237,83745.4047660994,82481.53751683977,92092.8856108204,85176.03890940982,83745.4047660994,85439.93549121235,83745.4047660994,72738.01078873295,72239.54385478672,70500.58359552149,77306.59320541064,72543.7478534441,72239.54385478672,72386.58137206546,72031.30371342746,63983.30741089225,63180.58186192758,61399.66667452009,68710.03751515353,63830.22959890017,63180.58186192758,63983.30741089225,63180.58186192758
2015Q2,,,,,,,,,78351.57573740616,78430.1008519709,75190.98231539656,82463.81421222244,78288.13273388572,78430.1008519709,78351.57573740616,78430.1008519709,72136.57615185293,71669.58322923986,70518.30690013882,74293.37078363111,72098.11005327692,71669.58322923986,72136.57615185293,71669.58322923986,62883.81689746819,62474.01704492627,61243.48005257982,64862.35731413186,62859.65949948424,62474.01704492627,62883.81689746819,62474.01704492627
2015Q3,,,,,,,,,78051.48600735205,78789.55162374122,75330.18410374521,80124.33800273426,78094.71600123371,78789.55162374122,78051.48600735205,78789.55162374122,68696.22474823678,69029.5493122827,65990.0025704098,70930.37373249185,68732.53807081924,69029.5493122827,68889.52633236726,69038.41096459137,59029.74336212309,59007.86451806643,57376.4765263851,61010.3447497593,59006.36232270178,59007.86451806643,59029.74336212309,59007.86451806643
2015Q4,,,,,,,,,74165.32288197914,74202.5026479072,71670.59862690023,76810.08003929266,74152.82014012626,74202.5026479072,74165.32288197915,74202.5026479072,62600.42226889521,62558.21694322449,60562.240531351024,65553.84312084256,62524.15234269495,62558.21694322449,62600.422268895214,62558.21694322449,55578.48205658343,55489.366568082216,53597.53567000776,58014.51549260915,55537.110506633435,55489.366568082216,55578.48205658343,55489.366568082216
2016Q1,103330.24019606366,103194.3448887321,94182.30608390411,112679.8621882166,103325.06871196126,103194.3448887321,103330.24019606366,103194.3448887321,82002.39313461781,79055.42693399073,75617.5991316048,92395.06795454596,81894.07203145795,79055.42693399073,82002.39313461781,79055.42693399073,95484.47041843698,99100.46848420233,64926.6042933697,112781.07506054464,95734.68289924753,99100.46848420233,97835.7529355327,100803.56288613004,53108.598702434785,53895.581788199146,46121.276338856784,57429.64644023711,53197.47452329398,53895.581788199146,53108.598702434785,53895.581788199146
2016Q2,92995.2500592243,92932.84510886285,88887.0913080369,95331.6660358642,93075.78382170374,92932.84510886285,93173.86565710201,92951.9133234462,77317.45131242905,77053.09546945777,74074.38088594348,80949.30244734426,77304.04508110389,77053.09546945777,77317.45131242905,77053.09546945777,79803.62588405378,84397.88697688573,58776.61759115454,95480.12879501889,79970.82917723921,84397.88697688573,79803.62588405379,84397.88697688573,46436.16859351201,46404.35889044695,42517.65319223146,50530.3578039224,46431.288765480625,46404.35889044695,46436.16859351201,46404.35889044695
2016Q3,86839.83461290893,87339.20567128513,80577.53385461115,90325.94777225536,86966.02495831583,87339.20567128513,87112.1085589219,87370.18920363045,70968.07407923641,71087.66677346654,67084.4166305302,74559.22035289113,70977.21505345676,71087.66677346654,70968.0740792364,71087.66677346654,75223.40133810679,81845.17989620207,55371.28153454054,90340.73536723832,75371.3633935579,81845.17989620207,75223.4013381068,81845.17989620207,45953.304287290615,45965.28440226711,43716.90883781794,47770.44542378966,45968.83222480815,45965.28440226711,45953.3042872906,45965.28440226711
2016Q4,82476.3268399324,81555.6716477572,79970.93438541287,97714.81606542532,81415.2354423513,81555.6716477572,81304.13536104836,81554.43934817528,67459.28326461134,67191.21341941578,65035.99031405481,78370.36681305467,67105.62532303271,67191.21341941578,66553.25646195172,66962.18952128122,70037.63269298842,74493.20482784687,54512.79949956112,82407.19065886133,70195.39645436614,74493.20482784687,70037.63269298842,74493.20482784687,41784.16656444147,41251.58860177068,40047.2006053848,52283.820145796926,41346.03218332653,41251.58860177068,41284.1830605674,41135.0130613214
2017Q1,99125.16975029459,99239.38811288786,97318.1453157938,99992.1056928066,99068.47093650633,99087.56880439579,99231.46530526521,99341.4515135548,77410.02743890451,77581.50549607718,74798.97304011026,79337.86636034002,77430.7309382184,77581.50549607718,77410.02743890451,77581.50549607718,80990.43080993755,79616.20617022677,59388.34852708723,99992.1056928066,79769.63969387698,79124.72595546812,80990.43080993755,79616.20617022677,46279.295609326655,44863.02510535142,44279.84159437174,51953.66658714588,46171.209816301234,44863.02510535142,45948.14546992172,44831.41796055755
2017Q2,94886.84961660249,95175.45739362319,90321.37065952252,99338.43922568792,94890.91709331657,95175.45739362319,94886.8496166025,95175.45739362319,76274.91643199255,76183.26809682162,71901.66068022768,81392.07555653891,76256.31884767301,76183.26809682162,76274.91643199255,76183.26809682162,82762.48551147227,92834.90972103688,53667.59810857316,99317.35321061958,83084.02447823515,92834.90972103688,82762.48551147229,92834.90972103688,43535.43403690568,43862.45675566736,41558.79440175512,45258.16699428247,43543.62457489838,43862.45675566736,43535.43403690568,43862.45675566736
2017Q3,93822.72705202007,93218.42873536437,89414.0460816373,101408.63406221935,93690.34263369437,93218.42873536437,93519.2907716121,92975.39187337532,70406.33353241789,70314.48889703947,67651.88552546846,73799.48136162804,70386.97899234938,70314.48889703947,70386.97899234938,70314.48889703947,79590.6258351815,90212.38662616795,51330.297751214326,100495.00715218663,79794.95768981936,90212.38662616795,79590.6258351815,90212.38662616795,42043.534593311175,42216.424405540805,40056.01154739549,43689.26815346572,42055.320437647766,42216.424405540805,42055.32043764776,42216.424405540805
2017Q4,103208.87908515922,104303.98061086416,86504.58676873296,117767.6163954216,103270.1806567639,104303.98061086416,103208.87908515922,104303.98061086416,74007.08542220725,68931.03472907383,64567.60037798673,90372.63017994676,73776.21676508995,68931.03472907383,74007.08542220725,68931.03472907383,93074.85337941394,98763.09224310878,49974.78143557068,117747.94792758474,93493.64832022467,98763.09224310878,98143.64194068508,101692.32703025625,44165.00498716969,40756.44762147944,39069.18604219696,55382.8608274374,43909.9201165324,40756.44762147944,44165.00498716969,40756.44762147944
2018Q1,96376.02608193374,96695.4578512642,86297.8685138665,105877.81495595514,96388.28924563684,96695.4578512642,96376.02608193376,96695.4578512642,80980.12316855618,80608.65968274014,75200.5131192639,90298.13455376556,80914.59721789106,80608.65968274014,80473.64622182984,80376.95561399272,89015.36104657647,92642.12329755486,63223.5180963039,105907.14368600474,89177.18032495545,92642.12329755486,89015.36104657647,92642.12329755486,48523.86365861037,47303.20254088516,46234.26873129094,55316.91286936888,48405.351703783024,47303.20254088516,48017.08371243032,47141.631222281256
2018Q2,96505.74767988853,97192.32104269284,92190.63450432676,100042.15601428752,96546.73214521287,97192.32104269284,96721.5033386666,97281.86814564542,78584.49608743156,78484.37032309454,74964.53355070848,81894.55403278416,78591.70317095179,78484.37032309454,78584.49608743153,78484.37032309454,81045.59163894634,81365.2809645413,63502.94239507966,100109.58491961595,81004.47423254627,81365.2809645413,81045.59163894634,81365.2809645413,48393.469552683026,48415.32934861669,46399.59546694192,49786.48100848068,48411.14198297548,48415.32934861669,48506.017142145756,48438.6064843351
2018Q3,91792.74575554697,89852.74473279949,82557.91037695727,106586.00383346484,91642.51811502459,89852.74473279949,91403.44949033861,89815.46767044651,79942.23182906244,79587.43333663279,77227.39930729808,82635.38431779356,79942.83405220223,79587.43333663279,79865.95435847176,79584.771260207,82660.07847180609,84702.67382034787,62047.70839538959,106372.58323809452,82595.49233243377,84702.67382034787,82660.07847180609,84702.67382034787,50312.534773252184,50303.69926644325,47506.00189982855,51932.421998071804,50349.61744977107,50303.69926644325,50480.8265477556,50332.84796168401
