Month,2YO_mean,2YO_median,2YO_min,2YO_max,2YO_mean_no_extremes,2YO_median_no_extremes,2YO_mean_no_outliers,2YO_median_no_outliers,3YO_mean,3YO_median,3YO_min,3YO_max,3YO_mean_no_extremes,3YO_median_no_extremes,3YO_mean_no_outliers,3YO_median_no_outliers,4YO_mean,4YO_median,4YO_min,4YO_max,4YO_mean_no_extremes,4YO_median_no_extremes,4YO_mean_no_outliers,4YO_median_no_outliers,5YO_mean,5YO_median,5YO_min,5YO_max,5YO_mean_no_extremes,5YO_median_no_extremes,5YO_mean_no_outliers,5YO_median_no_outliers
2015-01,,,,,,,,,89886.72241073004,89841.13975918802,87607.26490637813,92092.8856108204,89911.15384548389,89841.13975918802,89886.72241073003,89841.13975918802,75773.45195749888,75821.77123372689,74143.67215713114,77306.59320541064,75821.77123372689,75821.77123372689,75773.45195749888,75821.77123372689,67645.95432652475,67716.13801770454,66441.5037555364,68710.03751515353,67716.13801770454,67716.13801770454,67645.95432652475,67716.13801770454
2015-02,,,,,,,,,84091.05612947696,83745.4047660994,82481.53751683977,86499.80452480327,83891.24868380468,83745.4047660994,84091.05612947697,83745.4047660994,71430.51040217516,71035.16277104185,70500.58359552149,73084.6414087289,71189.10900220847,71035.16277104185,71430.51040217516,71035.16277104185,63718.979254999394,63626.038134229355,62308.97066419279,65381.08046177136,63655.95610100805,63626.038134229355,63718.979254999394,63626.038134229355
2015-03,,,,,,,,,82611.80380577719,82583.44651838945,82539.13825684611,82685.35551993913,82611.5084173669,82583.44651838945,82611.80380577719,82583.44651838945,71617.15824027799,71174.0691709802,70665.79011356164,72858.91253590163,71520.36285064224,71174.0691709802,71617.158240278,71174.0691709802,61805.87095636345,61552.9573316536,61399.66667452009,62930.51711084237,61626.260488204556,61552.9573316536,61805.87095636345,61552.9573316536
2015-04,,,,,,,,,80832.38650535958,81129.6691370149,78517.42505076258,82463.81421222244,81003.26994229312,81129.6691370149,80832.3865053596,81129.6691370149,73911.13818071727,73930.04303897575,73362.89729122104,74293.37078363111,73966.47427624471,73930.04303897575,73911.13818071727,73930.04303897575,64308.367934494236,64366.104784846495,63838.836472480776,64862.35731413186,64280.21529528618,64366.104784846495,64308.367934494236,64366.104784846495
2015-05,,,,,,,,,75965.20635105103,75735.89619858742,75190.98231539656,77412.67239628205,75796.89584865689,75735.89619858742,75965.20635105103,75735.89619858742,71095.6435480485,70930.37373249185,70518.30690013882,72382.79854588243,70918.18896056744,70930.37373249185,71095.6435480485,70930.37373249185,62641.401770684286,62474.01704492627,62263.67777461517,63341.41107744868,62560.83044301046,62474.01704492627,62641.401770684286,62474.01704492627
2015-06,,,,,,,,,78238.24607948826,78430.1008519709,76980.6668462345,79118.5404657005,78364.00769516877,78430.1008519709,78238.24607948825,78430.1008519709,71611.13324755392,71596.47459769335,71249.39321560386,71945.77139285998,71620.16720976861,71596.47459769335,71611.13324755392,71596.47459769335,61750.164012582834,61774.38797214374,61243.48005257982,62188.35372999149,61772.99542678095,61774.38797214374,61750.164012582834,61774.38797214374
2015-07,,,,,,,,,79605.04517744636,79561.62308113388,79291.34268571952,79991.41321810425,79580.82332780266,79561.62308113388,79605.04517744636,79561.62308113388,69532.458731824,69315.50801562777,69029.5493122827,70930.37373249185,69308.70733654234,69315.50801562777,69532.45873182398,69315.50801562777,60609.6844544805,60608.93462236208,60249.55079988805,61010.3447497593,60596.17557425172,60608.93462236208,60609.6844544805,60608.93462236208
2015-08,,,,,,,,,79015.27899289444,79166.20442646366,77339.56376473553,80124.33800273426,79156.94304747423,79166.20442646366,79015.27899289444,79166.20442646366,69052.5144424844,68991.88728997087,68887.20902207473,69339.07416792115,68991.88728997087,68991.88728997087,69052.5144424844,68991.88728997087,59210.866686508794,59281.73177274858,58285.288202040654,60054.59444909736,59238.150260468654,59281.73177274858,59210.866686508794,59281.73177274858
2015-09,,,,,,,,,75793.06038006445,75722.03529176908,75330.18410374521,76528.40609091,75724.94302143287,75722.03529176908,75793.06038006446,75722.03529176908,67407.71221253404,67448.23668920272,65990.0025704098,68444.68025991064,67534.62607744992,67448.23668920272,67407.71221253404,67448.23668920272,57562.18968150383,57513.09366614372,57376.4765263851,57839.86709502584,57539.198616903006,57513.09366614372,57562.18968150383,57513.09366614372
2015-10,,,,,,,,,76023.73817389157,76227.90945999205,74951.34846754967,76810.08003929266,76095.25013412678,76227.90945999205,76023.73817389157,76227.90945999205,63577.94070959101,63790.09738478312,61198.80255552362,65553.84312084256,63658.58785815417,63790.09738478312,63577.94070959101,63790.09738478312,57323.61190986635,57383.47256768141,56440.939232655786,58014.51549260915,57387.5349413556,57383.47256768141,57323.61190986635,57383.47256768141
