Month,2 per. Mov. Avg. (4YO Slpr),2 per. Mov. Avg. (4YO Dycb),2 per. Mov. Avg. (5YO Slpr),2 per. Mov. Avg. (5YO Dycb),2 per. Mov. Avg. (6YO Slpr),2 per. Mov. Avg. (6YO Dycb)
Jan-22,128000,111000,110000,86000,75000,60000
Feb,135000,115000,114000,88000,81000,67000
Mar,137000,125000,114000,93000,86000,74000
Apr,138000,131000,114000,96000,87000,76000
May,139000,133000,110000,98000,87000,77000
Jun,128000,123000,105000,94000,77000,70000
Jul,116000,115000,96000,86000,76000,67000
Aug,113000,111000,94000,85000,73000,64000
Sep,110000,104000,90000,80000,70000,63000
Oct,106000,98000,86000,76000,68000,62000
Nov,102000,91000,80000,71000,67000,62000
Dec,99000,82000,76000,61000,62000,60000
Jan-23,99000,110000,80000,72000,66000,72000
Feb,100000,120000,82000,82000,78000,57000
