Month,4YO Slpr,4YO Dycb,5YO Slpr,5YO Dycb,6YO Slpr,6YO Dycb
Jan-22,121000,101000,107000,112000,78000,55000
Feb,134000,104000,115000,118000,80000,61000
Mar,144000,108000,117000,115000,91000,68000
Apr,148000,112000,118000,110000,96000,70000
May,142000,114000,114000,105000,92000,68000
Jun,135000,109000,109000,101000,87000,65000
Jul,126000,103000,103000,97000,82000,63000
Aug,118000,98000,98000,94000,77000,63000
Sep,113000,95000,95000,92000,73000,63000
Oct,108000,92000,92000,89000,70000,61000
Nov,102000,88000,88000,84000,66000,58000
Dec,99000,84000,84000,77000,63000,54000
Jan-23,105000,88000,70000,68000,68000,63000
Feb,93000,78000,68000,62000,55000,50000
Mar,89000,74000,62000,58000,51000,46000
Apr,87000,71000,58000,55000,48000,44000
May,84000,68000,56000,53000,46000,43000
Jun,80000,65000,53000,50000,44000,42000
Jul,77000,63000,52000,49000,42000,41000
Aug,74000,60000,50000,48000,41000,40000
Sep,71000,58000,49000,46000,39000,38000
Oct,69000,57000,47000,44000,38000,37000
Nov,66000,55000,45000,42000,36000,36000
Dec,64000,53000,43000,40000,36000,35000
Jan-24,96000,61000,59000,47000,47000,45000
Feb,85000,57000,56000,44000,45000,43000
Mar,82000,55000,53000,43000,44000,42000
Apr,79000,53000,51000,41000,42000,41000
May,76000,52000,49000,40000,41000,40000
Jun,73000,51000,47000,39000,40000,39000
Jul,71000,49000,46000,38000,39000,38000
Aug,69000,48000,44000,37000,38000,37000
Sep,66000,47000,43000,36000,37000,36000
Oct,64000,46000,41000,35000,37000,36000
Nov,62000,45000,40000,34000,36000,35000
Dec,60000,43000,39000,33000,35000,35000
Jan-25,108000,72000,56000,48000,52000,50000
Feb,75000,67000,57000,52000,46000,43000
