Date,3YO,4YO,5YO
Jan-19,93000,78000,61000
Mar,83000,69000,57000
May,94000,68000,55000
Jul,89000,70000,53000
Sep,84000,66000,50000
Nov,73000,59000,44000
Jan-20,72000,57000,43000
Mar,82000,65000,52000
May,80000,64000,47000
Jul,79000,64000,42000
Sep,73000,58000,39000
Nov,71000,52000,38000
Jan-21,72000,51000,38000
Mar,92000,72000,50000
May,94000,73000,52000
Jul,101000,78000,64000
Sep,102000,83000,71000
Nov,105000,88000,73000
Jan-22,110000,98000,76000
Mar,143000,124000,110000
May,166000,140000,115000
Jul,157000,138000,112000
Sep,147000,124000,103000
Nov,140000,115000,95000
Jan-23,131000,105000,83000
Mar,112000,87000,71000
