Month,MY2011,MY2012,MY2013,MY2014
Aug-15,42000,54000,62000,n/a
Sep,44000,48000,55000,n/a
Oct,35000,45000,52000,n/a
Nov,35000,42000,51000,n/a
Dec,30000,40000,48000,n/a
Jan-16,36000,46000,46000,n/a
Feb,39000,43000,39000,n/a
Mar,35000,38000,38000,n/a
Apr,30000,32000,37000,n/a
May,29000,30000,38000,n/a
Jun,31000,30000,37000,n/a
Jul,32000,28000,37000,n/a
Aug,32000,28000,38000,n/a
Sep,32000,28000,37000,n/a
Oct,31000,28000,35000,n/a
Nov,28000,28000,32000,n/a
Dec,27000,25000,28000,n/a
Jan-17,26000,25000,26000,n/a
Feb,23000,26000,28000,33000
Mar,23000,27000,28000,42000
Apr,23000,27000,28000,48000
May,23000,28000,28000,42000
Jun,24000,27000,28000,32000
Jul,24000,27000,29000,30000
Aug,23000,27000,30000,30000
Sep,23000,27000,31000,31000
Oct,23000,27000,33000,35000
Nov,23000,27000,34000,38000
Dec,22000,27000,35000,36000
Jan-18,16000,24000,29000,38000
Feb,17000,26000,30000,38000
Mar,26000,27000,31000,35000
Apr,27000,27000,34000,34000
