Month,3YO,4YO,5YO,3-5YO Avg.
Jan-19,92000,78000,60000,78000
Mar,82000,70000,58000,73000
May,96000,70000,57000,75000
Jul,87000,68000,53000,72000
Sep,82000,65000,49000,68000
Nov,74000,62000,45000,64000
Jan-20,89000,66000,44000,67000
Mar,85000,62000,48000,66000
May,76000,56000,40000,59000
Jul,75000,54000,38000,57000
Sep,73000,53000,40000,56000
Nov,72000,52000,40000,55000
Jan-21,93000,73000,50000,74000
Mar,95000,75000,55000,76000
May,99000,80000,61000,81000
Jul,101000,82000,66000,84000
Sep,103000,85000,73000,88000
Nov,109000,92000,77000,95000
Jan-22,120000,125000,110000,127000
Mar,165000,140000,115000,135000
