Time,4YO,5YO,3-5YO Avg.
Jan-16,70000,57000,74000
Mar,67000,45000,81000
May,66000,45000,77000
Jul,63000,48000,74000
Sep,61000,41000,80000
Nov,61000,40000,83000
Jan-17,63000,40000,78000
Mar,64000,45000,78000
May,64000,46000,82000
Jul,60000,51000,82000
Sep,55000,46000,72000
Nov,52000,40000,67000
Jan-18,64000,56000,64000
Mar,65000,47000,84000
May,65000,47000,78000
Jul,63000,48000,81000
Sep,62000,50000,79000
Nov,62000,50000,68000
Jan-19,72000,58000,70000
Mar,72000,55000,94000
May,70000,59000,92000
Jul,70000,58000,82000
Sep,67000,57000,75000
Nov,63000,54000,72000
Jan-20,68000,45000,89000
Mar,65000,42000,89000
May,52000,43000,84000
