Month,4YO,5YO,3-5YO Avg.
Jan-18,65000,55000,68000
Mar,66000,49000,70000
May,64000,50000,82000
Jul,63000,52000,80000
Sep,63000,52000,79000
Nov,62000,48000,73000
Jan-19,62000,58000,73000
Mar,72000,59000,95000
May,70000,58000,83000
Jul,68000,55000,93000
Sep,67000,50000,84000
Nov,62000,46000,74000
Jan-20,60000,42000,73000
Mar,63000,51000,90000
May,62000,42000,84000
Jul,53000,38000,61000
Sep,52000,37000,55000
Nov,51000,40000,55000
Jan-21,50000,40000,53000
Mar,72000,52000,93000
May,76000,60000,100000
