Month,3YO,4YO,5YO
Jan-19,94000,77000,61000
Mar,82000,68000,60000
May,95000,68000,58000
Jul,86000,69000,57000
Sep,80000,65000,52000
Nov,74000,61000,46000
Jan-20,74000,57000,45000
Mar,85000,66000,51000
May,83000,63000,44000
Jul,74000,61000,46000
Sep,72000,55000,38000
Nov,72000,52000,40000
Jan-21,90000,72000,50000
Mar,93000,73000,52000
May,98000,75000,58000
Jul,101000,82000,64000
Sep,103000,87000,70000
Nov,113000,96000,74000
Jan-22,120000,101000,77000
Mar,141000,122000,108000
May,162000,138000,113000
Jul,167000,143000,117000
Sep,146000,138000,109000
Nov,136000,118000,97000
Jan-23,130000,105000,82000
Mar,112000,85000,71000
May,113000,83000,69000
