Date,3YO,4YO,5YO,3-5YO Avg.
Jan-19,94000,78000,62000,77000
Mar-19,90000,70000,60000,75000
May-19,97000,72000,57000,77000
Jul-19,88000,70000,54000,74000
Sep-19,83000,67000,50000,71000
Nov-19,81000,65000,47000,69000
Jan-20,73000,58000,42000,60000
Mar-20,88000,67000,47000,70000
May-20,85000,62000,44000,67000
Jul-20,79000,56000,39000,60000
Sep-20,72000,53000,37000,57000
Nov-20,71000,51000,38000,55000
Jan-21,73000,54000,41000,57000
Mar-21,92000,72000,51000,72000
May-21,97000,75000,54000,76000
Jul-21,101000,78000,58000,79000
Sep-21,102000,80000,63000,82000
Nov-21,105000,83000,69000,87000
Jan-22,120000,98000,77000,99000
Mar-22,144000,138000,110000,130000
May-22,168000,142000,114000,140000
