Month,4YO Slpr,4YO Dycb,5YO Slpr,5YO Dycb,6YO Slpr,6YO Dycb
Jan-22,122000,101000,106000,77000,54000,56000
Feb,130000,99000,115000,80000,60000,57000
Mar,138000,117000,117000,90000,70000,67000
Apr,141000,119000,118000,92000,83000,72000
May,140000,118000,113000,94000,93000,72000
Jun,122000,110000,106000,86000,93000,68000
Jul,114000,104000,100000,78000,76000,64000
Aug,103000,94000,95000,75000,74000,64000
Sep,92000,91000,89000,72000,71000,63000
Oct,89000,87000,84000,73000,67000,63000
Nov,89000,83000,79000,67000,63000,59000
Dec,86000,78000,75000,62000,59000,49000
Jan-23,103000,105000,83000,77000,66000,66000
Feb,98000,102000,82000,76000,67000,66000
Mar,92000,93000,77000,73000,64000,63000
Apr,86000,89000,71000,68000,60000,61000
May,82000,84000,68000,66000,58000,54000
Jun,72000,79000,60000,60000,52000,50000
