Month-Year,4YO,5YO,3-5YO Avg.
Jan-15,80000,69000,78000
Mar,73000,63000,73000
May,71000,65000,72000
Jul,71000,60000,70000
Sep,70000,58000,69000
Nov,70000,56000,67000
Jan-16,72000,54000,67000
Mar,67000,48000,63000
May,66000,44000,60000
Jul,63000,47000,59000
Sep,61000,43000,57000
Nov,59000,40000,56000
Jan-17,66000,45000,64000
Mar,61000,44000,61000
May,61000,46000,61000
Jul,60000,44000,59000
Sep,57000,42000,56000
Nov,55000,40000,53000
Jan-18,68000,47000,63000
Mar,63000,47000,64000
May,65000,48000,65000
Jul (est.),65000,48000,65000
