Month,4YO,5YO,3-5YO Avg.
Jan-16,70000,57000,78000
Mar,67000,50000,82000
May,63000,45000,78000
Jul,61000,52000,75000
Sep,59000,47000,66000
Nov,58000,43000,64000
Jan-17,70000,41000,62000
Mar,62000,46000,79000
May,61000,44000,76000
Jul,60000,51000,72000
Sep,58000,46000,61000
Nov,52000,41000,58000
Jan-18,53000,40000,68000
Mar,65000,48000,81000
May,64000,47000,80000
Jul,63000,52000,76000
Sep,63000,51000,76000
Nov,63000,51000,71000
Jan-19,62000,61000,91000
Mar,72000,58000,97000
May,70000,58000,83000
Jul,68000,56000,78000
