Date,4YO,5YO,3-5YO Avg.
Jan-16,70000,57000,74000
Mar,67000,45000,78000
May,64000,47000,74000
Jul,61000,44000,72000
Sep,60000,41000,68000
Nov,55000,40000,67000
Jan-17,67000,45000,78000
Mar,62000,46000,78000
May,61000,48000,77000
Jul,60000,47000,76000
Sep,58000,45000,64000
Nov,53000,39000,60000
Jan-18,57000,48000,70000
Mar,65000,52000,84000
May,65000,51000,80000
Jul,64000,47000,77000
Sep,63000,47000,72000
Nov,62000,53000,73000
Jan-19,71000,54000,98000
Mar,70000,57000,84000
May,70000,60000,83000
Jul,67000,58000,80000
Sep,65000,54000,84000
Nov,58000,47000,78000
Jan-20,66000,47000,87000
Mar,64000,42000,85000
May,53000,44000,80000
Jul,52000,41000,70000
