Month,2YO,3YO,4YO,5YO
Jan-16,93000,91000,70000,58000
Mar,113000,77000,70000,54000
May,101000,78000,67000,50000
Jul,98000,78000,64000,44000
Sep,90000,70000,59000,42000
Nov,82000,67000,56000,40000
Jan-17,80000,79000,54000,41000
Mar,98000,79000,66000,58000
May,101000,76000,65000,49000
Jul,99000,80000,65000,44000
Sep,99000,73000,62000,40000
Nov,108000,77000,66000,39000
Jan-18,119000,81000,67000,42000
Mar,99000,84000,65000,56000
May,104000,82000,66000,53000
Jul,98000,80000,62000,49000
Sep,94000,82000,58000,49000
Nov,95000,75000,56000,49000
Jan-19,108000,73000,56000,51000
Mar,129000,95000,78000,58000
May,114000,90000,75000,57000
Jul,109000,82000,78000,48000
