Month,3YO,4YO,5YO
Jan-19,94000,78000,62000
Mar,82000,70000,58000
May,93000,68000,53000
Jul,86000,65000,51000
Sep,82000,61000,48000
Nov,72000,58000,43000
Jan-20,89000,60000,44000
Mar,83000,57000,38000
May,80000,53000,38000
Jul,74000,52000,40000
Sep,73000,51000,38000
Nov,72000,51000,40000
Jan-21,93000,63000,42000
Mar,98000,72000,50000
May,101000,76000,54000
Jul,104000,78000,63000
Sep,110000,84000,70000
Nov,117000,95000,76000
Jan-22,120000,98000,78000
Mar,145000,135000,115000
May,166000,142000,118000
Jul,158000,137000,112000
Sep,145000,127000,106000
Nov,134000,115000,99000
Jan-23,130000,102000,85000
Mar,111000,95000,76000
May,115000,85000,68000
Jul,112000,79000,66000
Sep,87000,70000,58000
