Month,4YO Slpr,4YO Dycbs,5YO Slpr,5YO Dycbs,6YO Slpr,6YO Dycbs
Jan-22,122000,100000,107000,77000,77000,53000
Feb,134000,108000,113000,80000,85000,58000
Mar,138000,116000,118000,91000,92000,70000
Apr,139000,117000,115000,94000,92000,82000
May,134000,119000,117000,91000,88000,87000
Jun,120000,112000,109000,88000,80000,76000
Jul,113000,106000,104000,82000,76000,71000
Aug,108000,100000,97000,79000,73000,69000
Sep,102000,97000,92000,75000,70000,67000
Oct,99000,94000,87000,72000,67000,66000
Nov,98000,90000,84000,69000,64000,62000
Dec,97000,89000,77000,67000,61000,58000
Jan-23,105000,98000,85000,77000,68000,66000
Feb,103000,94000,83000,72000,68000,64000
Mar,95000,91000,78000,70000,63000,61000
Apr,89000,88000,75000,67000,59000,57000
May,86000,83000,70000,65000,55000,54000
Jun,79000,79000,67000,63000,52000,50000
Jul,75000,76000,64000,60000,49000,47000
Aug,73000,73000,61000,57000,46000,44000
Sep,71000,71000,59000,55000,44000,42000
Oct,69000,68000,56000,52000,42000,40000
Nov,67000,66000,53000,50000,40000,38000
Dec,70000,66000,47000,45000,35000,33000
