Month,4YO Slpr,4YO Dycab,5YO Slpr,5YO Dycab,6YO Slpr,6YO Dycab
Jan-22,120000,100000,107000,107000,76000,53000
Feb,132000,107000,115000,115000,80000,55000
Mar,137000,117000,118000,118000,90000,65000
Apr,140000,120000,117000,117000,93000,70000
May,140000,115000,113000,113000,93000,65000
Jun,130000,110000,107000,107000,87000,63000
Jul,120000,105000,100000,100000,80000,61000
Aug,113000,98000,93000,93000,75000,63000
Sep,108000,95000,90000,90000,73000,63000
Oct,104000,90000,85000,85000,70000,60000
Nov,101000,88000,80000,80000,65000,58000
Dec,95000,83000,76000,76000,62000,58000
Jan-23,105000,100000,75000,75000,68000,68000
Feb,92000,90000,68000,68000,55000,55000
Mar,88000,85000,60000,60000,50000,53000
Apr,78000,78000,58000,58000,48000,50000
May,75000,75000,55000,55000,45000,48000
Jun,75000,73000,55000,55000,43000,45000
Jul,73000,70000,54000,54000,42000,43000
Aug,73000,68000,53000,53000,41000,42000
Sep,72000,65000,53000,53000,40000,41000
Oct,70000,63000,52000,52000,39000,40000
Nov,65000,60000,51000,51000,38000,38000
Dec,60000,58000,48000,48000,36000,35000
Jan-24,95000,95000,60000,60000,48000,48000
Feb,73000,73000,58000,58000,45000,43000
Mar,70000,65000,62000,53000,43000,42000
Apr,75000,63000,55000,50000,43000,42000
May,73000,60000,55000,50000,43000,43000
