Date,3YO,4YO,5YO
Jan-19,94000,78000,62000
Mar-19,84000,70000,60000
May-19,92000,68000,58000
Jul-19,83000,64000,53000
Sep-19,80000,60000,49000
Nov-19,81000,60000,45000
Jan-20,75000,65000,45000
Mar-20,71000,58000,40000
May-20,78000,52000,37000
Jul-20,75000,50000,38000
Sep-20,70000,50000,38000
Nov-20,72000,51000,40000
Jan-21,74000,52000,40000
Mar-21,93000,72000,51000
May-21,97000,76000,53000
Jul-21,100000,78000,60000
Sep-21,107000,86000,69000
Nov-21,105000,91000,75000
Jan-22,111000,97000,82000
Mar-22,152000,130000,112000
May-22,167000,139000,115000
Jul-22,148000,139000,109000
Sep-22,139000,131000,105000
Nov-22,131000,121000,98000
Jan-23,108000,102000,80000
Mar-23,105000,87000,73000
May-23,99000,83000,70000
Jul-23,94000,77000,64000
Sep-23,90000,72000,60000
Nov-23,87000,68000,57000
Jan-24,119000,77000,50000
Mar-24,99000,72000,54000
May-24,94000,71000,51000
Jul-24,94000,71000,51000
