Month,4YO,5YO,3-5YO Avg.
Jan-15,79700,69700,77800
Feb,73800,64400,75000
Mar,71900,63600,78500
Apr,71000,62500,79700
May,71700,61700,79300
Jun,71400,61000,78900
Jul,70000,59700,77600
Aug,69500,59100,76800
Sep,68300,57500,75800
Oct,66700,55300,73800
Nov,63700,54300,72400
Dec,61200,53700,72100
Jan-16,72600,57800,93200
Feb,66600,57400,76800
Mar,65500,46700,78200
Apr,64900,44900,79400
May,64000,51500,79400
Jun,63100,47000,78500
Jul,61500,45500,76800
Aug,60700,47400,75600
Sep,59400,46600,73800
Oct,57700,44000,71300
Nov,56700,41600,68200
Dec,55200,40100,66500
Jan-17,67200,52900,77900
Feb,66000,44700,78800
Mar,64700,44500,82200
Apr,63100,46300,81300
May,61700,44900,79300
Jun,61100,44600,77100
Jul,59200,45800,73800
Aug,57300,44500,72500
Sep,56200,43600,71800
Oct,53900,41900,69800
Nov,51700,40500,68800
Dec,55100,41900,71000
Jan-18 (est.),55300,42200,71300
