Date,3YO,4YO,5YO,3-5YO Avg
Jan-19,94000,78000,62000,77000
Mar,82000,72000,58000,72000
May,94000,72000,58000,73000
Jul,88000,70000,55000,70000
Sep,84000,68000,50000,67000
Nov,82000,65000,48000,65000
Jan-20,88000,63000,45000,67000
Mar,84000,60000,42000,64000
May,78000,55000,40000,60000
Jul,74000,52000,39000,56000
Sep,72000,51000,40000,54000
Nov,72000,52000,40000,55000
Jan-21,72000,54000,40000,57000
Mar,74000,71000,50000,63000
May,94000,72000,52000,73000
Jul,100000,78000,60000,80000
Sep,104000,84000,70000,87000
Nov,110000,88000,74000,92000
Jan-22,120000,118000,100000,98000
Mar,165000,142000,114000,140000
May,155000,134000,112000,130000
Jul,144000,120000,104000,118000
Sep,140000,115000,97000,112000
Nov,134000,108000,86000,104000
Jan-23,130000,106000,82000,100000
