Time,3YO,4YO,5YO
Jan-19,97000,78000,62000
Mar-19,82000,70000,59000
May-19,93000,69000,61000
Jul-19,84000,64000,57000
Sep-19,80000,61000,52000
Nov-19,76000,58000,47000
Jan-20,86000,65000,47000
Mar-20,84000,57000,44000
May-20,73000,51000,38000
Jul-20,71000,53000,40000
Sep-20,72000,51000,39000
Nov-20,70000,50000,40000
Jan-21,89000,64000,48000
Mar-21,91000,72000,50000
May-21,98000,73000,54000
Jul-21,103000,78000,62000
Sep-21,104000,82000,68000
Nov-21,106000,85000,71000
Jan-22,124000,118000,99000
Mar-22,141000,139000,111000
May-22,162000,143000,116000
Jul-22,167000,140000,116000
Sep-22,153000,128000,110000
Nov-22,138000,116000,104000
Jan-23,132000,106000,83000
Mar-23,122000,96000,75000
May-23,116000,87000,69000
Jul-23,115000,84000,62000
Sep-23,114000,81000,58000
Nov-23,108000,74000,57000
Jan-24,117000,75000,51000
Mar-24,101000,66000,47000
May-24,94000,59000,43000
Jul-24,93000,57000,40000
Sep-24,93000,54000,41000
Nov-24,92000,51000,43000
Jan-25,95000,79000,58000
