Date,3YO,4YO,5YO
Jan-19,95000,78000,58000
Mar,85000,70000,58000
May,92000,70000,55000
Jul,95000,70000,53000
Sep,85000,68000,50000
Nov,80000,65000,48000
Jan-20,75000,62000,45000
Mar,85000,65000,45000
May,80000,60000,42000
Jul,78000,58000,40000
Sep,75000,55000,38000
Nov,72000,52000,40000
Jan-21,72000,50000,40000
Mar,85000,65000,45000
May,85000,65000,48000
Jul,92000,72000,50000
Sep,100000,80000,55000
Nov,110000,90000,65000
Jan-22,120000,98000,75000
Mar,165000,140000,115000
May,155000,135000,110000
Jul,140000,125000,105000
Sep,140000,120000,100000
Nov,125000,110000,90000
Jan-23,100000,90000,80000
Mar,110000,95000,85000
May,105000,85000,75000
Jul,100000,80000,70000
Sep,95000,75000,65000
Nov,90000,70000,58000
Jan-24,90000,70000,55000
Mar,120000,80000,75000
