Date,4YO,5YO,3-5YO Avg.
Jan-15,77000,69000,79000
Mar,72000,62000,72000
May,71000,64000,78000
Jul,70000,63000,80000
Sep,72000,60000,77000
Nov,70000,58000,77000
Jan-16,70000,55000,70000
Mar,69000,57000,77000
May,67000,49000,78000
Jul,65000,45000,73000
Sep,64000,44000,69000
Nov,61000,41000,67000
Jan-17,68000,52000,67000
Mar,66000,46000,78000
May,62000,46000,77000
Jul,58000,44000,61000
Sep,54000,44000,60000
Nov,52000,40000,56000
Jan-18,68000,55000,70000
Mar,67000,47000,76000
May (est.),63000,47000,78000
