Month,2YO,3YO,4YO,5YO
Jan-16,96000,93000,68000,58000
Mar,113000,76000,65000,46000
May,100000,80000,65000,44000
Jul,91000,76000,62000,48000
Sep,89000,71000,61000,50000
Nov,82000,67000,59000,46000
Jan-17,82000,65000,57000,43000
Mar,99000,76000,56000,46000
May,98000,72000,54000,44000
Jul,92000,70000,56000,41000
Sep,93000,66000,53000,40000
Nov,92000,68000,53000,41000
Jan-18,119000,90000,66000,54000
Mar,104000,76000,62000,47000
May,98000,74000,61000,46000
Jul,97000,77000,64000,50000
Sep,92000,76000,63000,50000
Nov,88000,72000,62000,52000
Jan-19,128000,96000,76000,61000
Mar,115000,88000,68000,58000
May,110000,94000,67000,56000
Jul,107000,83000,65000,51000
