Month,3YO,4YO,5YO,3-5YO Avg.
Jan-19,94000,78000,62000,77000
Mar,83000,72000,58000,71000
May,93000,73000,59000,72000
Jul,86000,69000,55000,68000
Sep,82000,66000,49000,65000
Nov,74000,60000,44000,60000
Jan-20,90000,67000,51000,66000
Mar,84000,62000,42000,61000
May,85000,60000,38000,57000
Jul,75000,53000,38000,54000
Sep,72000,54000,38000,53000
Nov,71000,52000,40000,51000
Jan-21,92000,72000,52000,72000
Mar,90000,71000,54000,72000
May,98000,78000,60000,77000
Jul,102000,80000,66000,81000
Sep,105000,83000,70000,85000
Nov,119000,94000,77000,93000
Jan-22,122000,98000,78000,95000
Mar,140000,138000,113000,132000
May,165000,144000,115000,139000
Jul,150000,132000,110000,127000
Sep,135000,115000,103000,117000
