Month,3YO,4YO,5YO
Jan-19,95000,78000,62000
Mar,88000,70000,60000
May,93000,68000,57000
Jul,85000,63000,53000
Sep,81000,60000,47000
Nov,79000,58000,45000
Jan-20,88000,64000,46000
Mar,85000,62000,42000
May,78000,55000,38000
Jul,73000,52000,39000
Sep,72000,51000,40000
Nov,72000,50000,38000
Jan-21,73000,51000,41000
Mar,89000,69000,53000
May,95000,73000,57000
Jul,100000,80000,60000
Sep,105000,88000,63000
Nov,110000,95000,70000
Jan-22,125000,100000,80000
Mar,155000,130000,115000
May,165000,140000,118000
Jul,155000,138000,115000
Sep,140000,125000,110000
Nov,130000,120000,105000
Jan-23,118000,108000,98000
Mar,115000,90000,75000
May,113000,85000,68000
Jul,105000,78000,60000
Sep,95000,70000,55000
Nov,85000,60000,50000
Jan-24,80000,58000,40000
Mar,120000,75000,55000
May,95000,70000,52000
