Month,4YO,5YO,3-5YO Avg.
Jan-16,68000,57000,70000
Mar,65000,52000,67000
May,62000,47000,63000
Jul,60000,45000,61000
Sep,59000,43000,59000
Nov,57000,41000,58000
Jan-17,67000,49000,67000
Mar,62000,44000,61000
May,60000,42000,59000
Jul,57000,44000,57000
Sep,54000,40000,55000
Nov,53000,39000,54000
Jan-18,65000,57000,65000
Mar,66000,54000,66000
May,65000,53000,65000
Jul,63000,50000,63000
Sep,62000,48000,61000
Nov,62000,47000,61000
Jan-19,71000,58000,70000
Mar,70000,54000,69000
May,68000,52000,68000
Jul,66000,49000,66000
Sep,59000,45000,61000
