Date,2YO,3YO,4YO,5YO
2015-01-16,,92092.8856108204,,
2015-01-17,,,77306.59320541064,68710.03751515353
2015-01-20,,91139.68830999023,,
2015-01-21,,,76394.88556494832,
2015-01-22,,,,68174.7406972774
2015-01-23,,89841.13975918802,,
2015-01-24,,,,67257.53533813167
2015-01-26,,88752.63346727338,75248.65690250546,
2015-01-29,,87607.26490637813,74143.67215713114,66441.5037555364
2015-02-02,,86499.80452480327,73084.6414087289,
2015-02-04,,,,65381.08046177136
2015-02-06,,85489.43550046743,,
2015-02-07,,,72031.30371342746,
2015-02-09,,,,64656.956873120245
2015-02-10,,84352.57693901146,,
2015-02-12,,,71035.16277104185,63821.4296554459
2015-02-15,,83138.23259318733,,
2015-02-17,,,70500.86052215613,63430.6466130128
2015-02-20,,82584.74970255248,,62714.79126245326
2015-02-23,,,70500.58359552149,
2015-02-25,,,,62308.97066419279
2015-02-26,,82481.53751683977,,
2015-03-01,,,70665.79011356164,
2015-03-02,,,,61699.73206797191
2015-03-04,,82539.13825684611,,
2015-03-07,,,70939.23538480053,
2015-03-08,,,,61405.72991031023
2015-03-10,,82680.9246937848,,
2015-03-12,,,71174.0691709802,
2015-03-14,,,,61399.66667452009
2015-03-16,,82685.35551993913,,
2015-03-20,,,,61406.18259533528
2015-03-22,,82583.44651838945,72447.783996146,
2015-03-25,,,,61993.3973792008
2015-03-27,,,72858.91253590163,
2015-03-28,,82570.15403992645,,
2015-03-31,,,,62930.51711084237
2015-04-03,,82463.81421222244,73930.04303897575,
2015-04-06,,,,63838.836472480776
2015-04-08,,,74293.37078363111,
2015-04-09,,82036.79334159853,,
2015-04-12,,,,64499.52188349365
2015-04-15,,81532.40791430618,74114.66079540632,
2015-04-18,,,,64862.35731413186
2015-04-19,,80726.93035972363,,
2015-04-20,,,73854.7189943521,
2015-04-24,,79716.94815354413,,64366.104784846495
2015-04-26,,,73362.89729122104,
2015-04-29,,78517.42505076258,,
2015-04-30,,,,63975.01921751839
2015-05-02,,,72382.79854588243,
2015-05-03,,77412.67239628205,,
2015-05-04,,,,63341.41107744868
2015-05-06,,,71190.31553354609,
2015-05-07,,76398.8993721705,,
2015-05-09,,,,62947.42421064181
2015-05-11,,75434.8915218134,,
2015-05-12,,,70881.63464479418,
2015-05-14,,,,62524.50574090026
2015-05-17,,75190.98231539656,,
2015-05-18,,,70518.30690013882,
2015-05-20,,,,62423.528348952284
2015-05-23,,75316.89162528221,,
2015-05-24,,,70621.69284373993,
2015-05-25,,,,62347.86347154751
2015-05-29,,76036.90087536143,,
2015-05-30,,,70979.11282018952,
2015-05-31,,,,62263.67777461517
2015-06-04,,76980.6668462345,71521.3351708261,
2015-06-06,,,,62188.35372999149
2015-06-10,,77811.44675017206,71945.77139285998,
2015-06-12,,,,62027.36704638402
2015-06-15,,78430.1008519709,,
2015-06-17,,,71742.69186078636,
2015-06-18,,,,61774.38797214374
2015-06-21,,78850.47548336332,,
2015-06-22,,,71596.47459769335,
2015-06-24,,,,61517.23126181508
2015-06-27,,79118.5404657005,,
2015-06-28,,,71249.39321560386,
2015-06-30,,,,61243.48005257982
